title,specs,price,image,link
"Panasonic Lumix G85 4K Digital Camera, 12-60mm Power O.I.S. Lens, 16 Megapixel Mirrorless Camera, 5 Axis In-Body Dual Image Stabilization, 3-Inch Tilt and Touch LCD, DMC-G85MK (Black)","4K Digital Camera, 12-60mm Power O.I.S. Lens, 16 Megapixel","1,61,374",https://m.media-amazon.com/images/I/71ZsjUh757L._AC_UY218_.jpg,https://www.amazon.in/PANASONIC-Mirrorless-12-60mm-Megapixels-DMC-G85MK/dp/B01M050N05/ref=sr_1_116?tag=nira6studio-21
"4K Digital Camera for Photography and Video Autofocus 16X Digital Zoom, 48MP Vlogging Camera with 32GB SD Card, 3'' 180° Flip Screen Compact Camera for Travel,2 Batteries Charger Stand","for Photography and Video Autofocus 16X Digital Zoom, 48MP","7,425",https://m.media-amazon.com/images/I/712T6VYeaWL._AC_UY218_.jpg,https://www.amazon.in/Vlogging-Camera-4K-Digital-YouTube/dp/B0BGLDXHGY/ref=sr_1_117?tag=nira6studio-21
"Drumstone (?????????????? ???? ?????????? ????????????????) 1080P HD Portable Body Camera – Night Vision, Waterproof Action Camera with Long-Lasting Battery and Rotating Rear Clip, Ideal",?????????? ????????????????) 1080P HD Portable Body Camera – Night,"2,099",https://m.media-amazon.com/images/I/51X2dggZ1eL._AC_UY218_.jpg,https://www.amazon.in/Drumstone-%F0%9D%90%92%F0%9D%90%A9%F0%9D%90%9E%F0%9D%90%9C%F0%9D%90%A2%F0%9D%90%9A%F0%9D%90%A5-%F0%9D%90%98%F0%9D%90%9E%F0%9D%90%9A%F0%9D%90%AB%F0%9D%90%AC-%F0%9D%90%96%F0%9D%90%9A%F0%9D%90%AB%F0%9D%90%AB%F0%9D%90%9A%F0%9D%90%A7%F0%9D%90%AD%F0%9D%90%B2-Portable/dp/B0G3HSGTKL/ref=sr_1_118?tag=nira6studio-21
6MP (3MP+3MP) 1080P Dual Lens WiFi Bulb Security Camera Wireless Smart CCTV with 360° Pan Tilt Color Night Vision Two Way Audio Indoor Home Surveillance SD Card Support 128GB(Not Included),Dual Lens WiFi Bulb Security Camera Wireless Smart CCTV,"1,889",https://m.media-amazon.com/images/I/61HtmWhNPBL._AC_UY218_.jpg,https://www.amazon.in/COUNTRYCAM-Security-Wireless-Surveillance-Included/dp/B0FP9KG9GF/ref=sr_1_119?tag=nira6studio-21
"Panasonic LUMIX G9II Micro Four Thirds Camera, 25.2MP Sensor with Phase Hybrid AF, Powerful Image Stabilization, High-Speed Perfomance and Mobility with 12-60mm F2.8-4.0 Lens - DC-G9M2LK9","Micro Four Thirds Camera, 25.2MP Sensor with Phase Hybrid","3,68,346",https://m.media-amazon.com/images/I/71Y8S095p0L._AC_UY218_.jpg,https://www.amazon.in/Panasonic-Powerful-Stabilization-High-Speed-Perfomance/dp/B0FW5Q22TZ/ref=sr_1_120?tag=nira6studio-21
MANOMAY 3MP 4G Bullet Security Camera BIS-ER (STQC) Certified IP66 All Time Color Night Vision Human Detection Supports Upto 256GB Memory Card Cloud Storage CCTV Camera for Home Office Shop M1097-SF,Bullet Security Camera BIS-ER (STQC) Certified IP66 All Time,"2,809",https://m.media-amazon.com/images/I/61WhoYMa6uL._AC_UY218_.jpg,https://www.amazon.in/MANOMAY-Security-Certified-Detection-Supports/dp/B0GVKJ2F57/ref=sr_1_121?tag=nira6studio-21
"OBSBOT Tiny 2 Lite AI-Powered 4K PTZ Webcam with AI Tracking, 1/2? Sensor, 1080p@60FPS HDR, Gesture Control, Dual Microphones, Auto Focus | Webcam for PC, Laptop, Streaming, Meetings & Video Calls","Lite AI-Powered 4K PTZ Webcam with AI Tracking, 1/2?","18,980",https://m.media-amazon.com/images/I/61bxysU-1aL._AC_UY218_.jpg,https://www.amazon.in/OBSBOT-Lite-AI-Powered-Microphones-Streaming/dp/B0FRRRNVPX/ref=sr_1_122?tag=nira6studio-21
"64MP Professional Digital Camera for Photography Autofocus, 5K Vlogging Camera for YouTube,16X Anti-Shake Compact Travel Camera with WiFi & App Control, Flash,SD Card, 2 Batteries (White)","Camera for Photography Autofocus, 5K Vlogging Camera for YouTube,16X","32,428",https://m.media-amazon.com/images/I/71+QiiewxnL._AC_UY218_.jpg,https://www.amazon.in/Professional-Photography-Autofocus-Anti-Shake-Batteries/dp/B0F6MRMKC9/ref=sr_1_125?tag=nira6studio-21
Fujifilm X Half 17.7MP 1 inch CMOS Sensor with 10.8mm f/2.8-11 Lens|Retro Style mirrorless Compact Travel Camera|2k vlogging for Street/Lifestyle - Black,17.7MP 1 inch CMOS Sensor with 10.8mm f/2.8-11 Lens|Retro,"49,999",https://m.media-amazon.com/images/I/71CCln3diFL._AC_UY218_.jpg,https://www.amazon.in/Fujifilm-mirrorless-Compact-vlogging-Lifestyle/dp/B0FB9JC13Y/ref=sr_1_126?tag=nira6studio-21
"OBSBOT Tiny SE AI-Powered PTZ Camera, FHD 1080p@100FPS | 1/2.8? Sensor, AI Auto Tracking, Gesture Control, 4X Zoom, Staggered HDR, Noise-Cancelling Mic | Webcam for Streaming & Video Calls","AI-Powered PTZ Camera, FHD 1080p@100FPS | 1/2.8? Sensor, AI","14,999",https://m.media-amazon.com/images/I/517U3opS5XL._AC_UY218_.jpg,https://www.amazon.in/OBSBOT-Tiny-SE-AI-Powered-Noise-Cancelling/dp/B0FRSC15NQ/ref=sr_1_128?tag=nira6studio-21
